图像名称,图像概念,图像叙事,类别,距离,图像情感类别,检查,概念
062278.jpg,励志；书,耗尽你的美好 别在该动脑子的时候动感情,9,1,0,,
062279.jpg,cpa；计算器；考试,cpa考试能带计算器吗,9,1,0,,
062280.jpg,新闻联播；好莱坞大片,这部自带《新闻联播》光环的电影竟拍出了好莱坞大片的质地!,5,1,0,,
062282.jpg,艺术；光,"""另一种光——多媒体艺术展""现场",14,3,0,,
062284.jpg,花城；美食,新春花城游记—六天五夜闺蜜美食之旅,10,3,0,,
062288.jpg,赵岩昊；顶薪合同,大家觉得赵岩昊到底值不值一份顶薪合同呢?,3,3,0,,
062289.jpg,美国；武器；经费,"尽管,美国已经将研究高超音速武器的经费增加2倍",12,3,0,,
062291.jpg,飞蚁；白蚁,飞蚁(flying ant)/白蚁成虫(termite),10,1,0,,
062292.jpg,服装；机长,讯亨学生青少年面试派对服装表演服机长空乘国航机长制服,11,1,0,1.0,
062293.jpg,幼小衔接；读书,"""图图""陪你读书了 篇十四:幼小衔接不心慌,值得买的好书来帮忙!",9,1,0,,
062294.jpg,传世人物；线装,中国传世人物画(大开本彩图版 全四卷)大盒 线装藏书馆,9,1,0,,
062295.jpg,秋冬；小皮衣；时尚感,"秋冬季节为自己背上一件美美小皮衣,让你在每个瞬间都时尚感足足",11,1,0,,
062297.jpg,清军；水师；全军覆没,"清军四大水师,这一支8分钟居然全军覆没,错在一细节",12,3,0,,
062298.jpg,东莞；6大片区,"东莞将全市划分为6大片区 引领片区""引爆点""",5,3,0,,
062299.jpg,匕首；短刀,奢华匕首 短刀,14,1,0,,
062301.jpg,马油；冬季滋润；防裂,时通马油冻消膏冬季滋润防手足耳朵干裂滋润防裂护手霜止痒防冻,8,1,0,1.0,
062305.jpg,外汇,"外汇市场要闻:解说""8·11汇改""周年得与失_第一黄金网",2,1,0,,
062306.jpg,西楚霸王；乌江；霸王祠,西楚霸王项羽自刎之地乌江霸王祠,14,3,0,,
062308.jpg,红姑娘,红姑娘,10,1,0,,
062309.jpg,足舟骨；坏死,足舟骨坏死是怎么一回事,8,1,0,,
062310.jpg,早起,"友友们,有早起社群吗,阿俊想和大家一同分享早起的快乐,期待中.",8,2,0,,
062311.jpg,武汉高校；投档线,武汉高校2021河南文科一本投档线华农江大上升武理民大下滑,9,1,0,,
062312.jpg,TED演讲；演说家,神经学家阿尼尔·赛斯认为:我们一直生活在幻觉中.,8,1,0,,
062314.jpg,学生；韩版；连衣裙,夏季学生韩版显瘦2021新款ins黑色连衣裙女小黑裙内搭,11,2,0,,
062315.jpg,网吧；楼梯间；设计,网吧室内楼梯间设计装修实景图,15,1,0,1.0,
062316.jpg,药店；刷脸售药；支付宝,"药店相关负责人介绍,自助刷脸售药系统与支付宝合作",6,1,0,,
062318.jpg,副局长；生态环境局,"区生态环境局副局长,执法大队及相关科室负责同志在开会",1,3,0,1.0,
062321.jpg,支气管；镜室,"支气管镜室一览,高大上有木有",8,1,0,,
062327.jpg,夜恩比德；续约,疯狂一夜恩比德顶薪续约圣诞大战赛程出炉,3,1,0,,
062328.jpg,君越；2012款,君越 2012款 2.4l sidi舒适版,6,1,0,,
062330.jpg,路县令；干草；毒物,"路县令料到会这样,就让人在干草上加了毒物,继续对着赵成的鼻子熏.",5,1,0,,
062332.jpg,硬笔；书法作品纸,硬笔书法作品纸a4纸小学生中国风练字本包邮钢笔书法纸硬笔田字格,14,1,0,1.0,
062333.jpg,茶饮；茉莉花茶,"沏成茶饮的茉莉花茶更是明艳动人,让人心动万分.",7,1,0,,
062334.jpg,病毒；传播,病毒是如何合成的又是如何传播的呢,8,1,0,,
062335.jpg,数据安全；发展价值,从数据安全角度看ipfs未来发展价值,6,1,0,,
062338.jpg,石涛寓居金陵,抒写石涛寓居金陵时的一些真情实感.,14,1,0,,
062339.jpg,中招；六十九中学西区,"非课改区中招第一名的好成绩,郑州市六十九中学西区老牌名校根基稳固",5,2,0,,
062340.jpg,风景,最美的风景在路上,10,1,0,,
062343.jpg,纤维；弹力,它与其他纤维混合所带来的弹力比较适中,11,1,0,1.0,
062345.jpg,美人树；果实；棉花糖,美人树果实成熟爆开如绵羊或棉花糖高挂枝头,10,1,0,,
062346.jpg,伸缩缝,伸缩缝型号,0,1,0,1.0,
062352.jpg,会议；审议；新拟任人员；人事任免议案,会议审议并表决通过了新拟任人员的人事任免议案,1,2,0,1.0,
062353.jpg,文学；艺术,中国文学艺术界联合会,14,1,0,1.0,
062356.jpg,太阳能；发电,南通太阳能发电|6kw/8kw/10kw民用太阳能发电机组,6,1,0,,
062358.jpg,信息；保存；一天,"该信息只保存一天, 第二天系统重新下载.",8,1,0,1.0,
062359.jpg,二战；女战俘；日本；折磨,"二战期间折磨女战俘就日本最厉害了,后被2国报复",12,1,0,,
062361.jpg,十孔口琴；音阶图,"求大神给个十孔口琴的音阶图,是要吹be调和e调的",9,1,0,,
062362.jpg,设计提案；智能科技,智能科技公司标志设计提案,6,1,0,1.0,
062365.jpg,三星；折叠屏；手机,三星galaxyfold3折叠屏手机中的里程碑之作,6,1,0,,
062366.jpg,记者招待会；门业品牌,第二届中国门业品牌价值评价活动记者招待会顺利召开,1,1,0,1.0,
062368.jpg,中国近代史,画说中国近代史,9,1,0,,
062369.jpg,opensea；2亿美元；交易额,"单日交易额超2亿美元的opensea,到底什么背景?",2,1,0,,
062371.jpg,协会；潍坊；健康养老产业,这个协会成立 潍坊健康养老产业更能拧成一股绳了,1,2,0,1.0,
062372.jpg,卓尔山；天境祁连, 门源-天境祁连-卓尔山-冰沟林海-沙岛-青海湖-茶,10,2,0,,
062373.jpg,微信小程序；基金,第一批基金微信小程序推出,2,1,0,,
062379.jpg,城南；题；风景,"构城南书院,城南有风景20处,故题诗20首.",14,1,0,,
062380.jpg,雷雨；艺术中心；演出,图为顾威重排的《雷雨》昨在上海话剧艺术中心彩排演出.,14,3,0,,
062381.jpg,书店；书；北师大,王洲的书店每年要送1万本书给北师大的新生,5,1,0,,
062383.jpg,图画,图画要简单不过要画满整张纸.字要少,9,1,0,,
062384.jpg,下雨；写诗,下雨的日子里爱上写诗,14,2,0,,
062385.jpg,魅族；机型；质量,"整体成像质量较魅族发布的上一代机型,魅族17,有了提升.",6,1,0,,
062387.jpg,美妆；科颜氏；眼霜,美妆子频道科颜氏 牛油果保湿眼霜,8,1,0,1.0,
062392.jpg,个私协会,个私协会 协会动态 中国个协,1,3,0,1.0,
062393.jpg,制裁；乌克兰；俄罗斯,并借乌克兰危机发起新一轮的对俄制裁,1,2,0,1.0,
062394.jpg,道歉；海报设计；浙江广厦,"海报设计严重不当,浙江广厦被罚100万,球队道歉",3,1,0,,
062395.jpg,招聘；保险公司,保险公司增员招聘,5,1,0,1.0,
062396.jpg,农技服务中心；马王村,郑场镇农技服务中心技术员到马王村开展农业生产技术,6,1,0,,
062397.jpg,宁古塔；中原,"但是宁古塔的地理位置实在太极端了,完全不适合长期生活在中原的百姓",14,1,0,,
062400.jpg,失事；乘机；中国富商,中国富商携子乘机视察法国葡萄园时失事,5,1,0,,
062402.jpg,生态大会；重庆；汽车,"生态大会在重庆召开#】汽车不只是出行工具,还是大型移动智能与计算",6,1,0,,
062403.jpg,肠息肉,发现肠息肉该怎么处理呢,8,1,0,,
062404.jpg,海子山；巴塘,"在翻过海子山之后,一路下坡,便可到巴塘了.",10,3,0,,
062405.jpg,白登之围；刘邦；匈奴,"白登之围时因为刘邦急功近利,郎中骑兵孤军深入,惜败匈奴.",12,1,0,,
062406.jpg,会员；增值；低价,你必须是我的会员才能享受低廉的价格和增值的服务,5,1,0,1.0,
062409.jpg,觉；睡不得,老祖宗这2种觉睡不得到底是哪2种觉你们中招没,14,1,0,,
062410.jpg,空调系统；排风阀,"例如空调系统上的新风阀平排风阀,同样适用于仅作调节阀用或既有密封",6,1,0,1.0,
062411.jpg,郑铮；国家队,"虽然郑铮对于国家队来说很重要,他很可能出现在对阵澳大利亚的替补席",3,3,0,,
062412.jpg,史记；书,史记(全彩精华版),14,1,0,1.0,
062413.jpg,南瓜服；环保服装；万圣节,万圣节儿童服装环保服装时装秀幼儿园水果服造型装扮演出服南瓜服,11,1,0,1.0,
062415.jpg,两轮；车,两轮世界 | carstuff 人车事,6,1,0,,
062417.jpg,尼桑逍；客机；保养,尼桑逍客机油保养灯怎么归零方法逍客机油灯归零方法,6,1,0,,
062418.jpg,基站设备；华为,华为rru3936载频射频等长期通信基站设备回收,6,1,0,,
062421.jpg,欧洲；球队；粉丝数,盘点那些欧洲豪门球队在国内的粉丝数皇马仅第七巴黎未进前十,3,1,0,,
062424.jpg,牛排；女神；女汉子,"同样是吃牛排,看清baby与李一桐的吃相,女神和女汉子",7,3,6,,
062425.jpg,飞燕；奔马,"然而富于巧思的东汉工匠们却能独运匠心,大胆夸张地进行巧妙构思,以燕衬马,让飞燕与奔马的速度有目共睹",14,1,0,,
062427.jpg,医生；新冠,"明明是青春正值的时候却要肩负如此重任,确实是辛苦了.",5,1,0,,
062429.jpg,美国；前副助卿,美前副助卿:习马会,1,2,0,1.0,
062430.jpg,消防安全；查封；自贡,重拳出击自贡5家消防安全隐患场所被临时查封,5,2,0,,
062431.jpg,仪式感；家居,"家居的仪式感是着重家居环境的塑造,让生活更高级有趣!",15,3,0,1.0,
062433.jpg,盾；助攻武器,"盾的用途是将杀伤力加以消耗或偏导,以及作为助攻武器.",12,1,0,,
062434.jpg,新冠疫情,"事关新冠疫情,中国再次完成一项壮举,西方这次输得心服口服",5,1,0,,
062435.jpg,教育,家校共育ppt,9,1,0,,
062437.jpg,球员；广东队,"相信随着球员注册名单的进一步完善,广东队向四连冠发起冲击的号角",3,1,0,,
062438.jpg,宝骏；车,宝骏新车能无钥匙开车可一键泊车698万起还是宋茜代言,6,1,0,,
062440.jpg,凯塔；足球队员,"让我们看看事情是如何发展的,这将会很有趣.凯塔还要再留一年吗?",3,3,0,,
062441.jpg,房贷；钱,为什么有钱就建议提前还房贷亲测,2,1,0,,
062442.jpg,植树节；浇水,植树节绿树女孩给小树苗浇水psd免扣,5,3,0,,
062443.jpg,检测仪；水质浊度,工业在线浊度检测仪污水自来厂水质浊度检测仪器在线ph余氯计电极,6,1,0,,
062444.jpg,海伦城市广场；景拍,"四会市,东城区,海伦城市广场一处景拍",10,3,0,,
062445.jpg,监察委员会；挂牌,横山区监察委员会正式挂牌成立,13,3,0,1.0,
062446.jpg,pcb；套件先列队,"pcb和套件先列队,为了节约空间,上小图.",6,1,0,1.0,
062447.jpg,植物照明,植物照明还有何用武之地?,10,1,0,1.0,
062448.jpg,离鳍；尾柄；凹槽,"无离鳍,尾柄处有凹槽.",10,1,0,,
062454.jpg,执行力；高效,"高效执行力的本质,绝非不折不扣地执行",5,3,0,1.0,
062455.jpg,稻城亚丁；宁静,"稻城亚丁 | 想带你,去宁静的远方",10,3,0,,
062459.jpg,巴黎；抗议；民众；暴风雨,巴黎民众在暴风雨抗议健康通行证,5,3,0,,
062461.jpg,周末图鉴；成都；青年,成都《精致青年周末图鉴》!,15,1,0,1.0,
062462.jpg,中医验方,青海《中医验方汇编》,8,1,0,,
062464.jpg,税收改革," 因此进行相应的税收改革,将赋税征收由征收实物改为征收货币就显得尤为重要",1,2,0,1.0,
062466.jpg,巴萨；巴黎,职场必看巴萨巴黎联袂合唱外来的和尚会念经,3,2,0,,
062468.jpg,海鲜；芥末；红姜汁,记得吃海鲜要配上芥末和红姜汁哦,7,1,0,,
062474.jpg,京津冀；年货节," 2018""品味静海·京津冀年货节""",5,1,0,,
062475.jpg,米尔斯；马刺,很显然米尔斯对于马刺的感情还是非常深厚,3,1,0,,
062482.jpg,传意画；上合组织,传意画创始人陈金传应邀参加上合组织比什凯克峰会,14,2,0,,
062483.jpg,节点；终审；汇签,新增节点时可设置可终审和汇签,2,1,0,1.0,
062485.jpg,压缩机；科技创新；高效节能,"压缩机,暖通空调等领域,实现电机高效节能,以科技创新赋能零碳未来",6,1,0,,
062488.jpg,巡洋舰；战争；海军,巡洋舰在未来战争当中真的毫无用处了吗?为何被各国海军逐渐淘汰,12,3,0,,
062489.jpg,蚕丝被；富安娜,慧爱富安娜蚕丝被100%桑蚕丝冬被春秋双人棉被子母被空调被.,15,1,0,1.0,
062490.jpg,战车,"战车溯源:被""炮塔即正义""思想击败的苏联版""斐迪南""",12,3,0,,
062491.jpg,干粮；含水量；湿粮,"干粮,湿粮,鲜粮 它们的含水量不一样?",7,1,0,,
062492.jpg,肝火旺盛；降肝火,肝火旺盛怎么办教你4种方法来降肝火,8,1,0,,
062493.jpg,修车；维修,"修车如同造车,维修精益求精",5,1,0,,
062495.jpg,女尸,难道说这个女尸还保留着最后一口气,5,1,0,,
062496.jpg,特色酒店；食鱼,"他在这里办了一个特色酒店,菜系以食鱼为主,兼给钓鱼爱好者垂钓.",6,1,0,,
062498.jpg,揽才；美国；大学学费,美国全球揽才阴谋通过各大学来实现用学费勾引你入局,12,3,0,0.0,
062503.jpg,拉铆枪,双把拉铆枪 手动抽芯拉柳枪 铆钉枪 拉帽枪 拉钉枪 五金工具,0,1,0,1.0,
062505.jpg,艺术类；录取工作,"目前,艺术类本科批次录取工作还在如火如荼的进行",9,1,0,,
062506.jpg,俄乌；对峙；黑海,"俄乌大军黑海对峙,号称海岸线被封锁:乌克兰求助北约干预",12,3,0,1.0,
062509.jpg,女教中；跳高,获得女教中跳高决赛第七名!,3,3,0,,
062510.jpg,aj；限量,"aj1 钩子里灌水新玩法""牛转钱坤"",限量仅 88 套!",11,1,0,1.0,
062512.jpg,快乐人家,龙门快乐人家农家乐,15,1,0,1.0,
062513.jpg,美国；债券发行国,"此外,美国还是曾经的最大债券发行国",2,1,0,,
062517.jpg,校友；教师,"校友足迹 | 李小红:沉静育人心,从容生活态_教师",9,2,0,,
062519.jpg,试驾；路虎；越野,"海外试驾|路虎全新一代发现偏家用,放弃越野了?",6,3,0,,
062520.jpg,汗水；收获；付出,"汗水和付出,才会换来意想不到的收获.",14,2,0,1.0,
062521.jpg,jk制服；女,女jk制服基础款,11,1,0,1.0,
062525.jpg,区纪委书记；会议," 区纪委书记,区监委代主任漆国辉在会议上发言谈",1,3,0,1.0,
062527.jpg,大数据,大数据时代:何为大数据概念?大数据分析,6,1,0,,
062528.jpg,防疫；温度,新蔡县古吕街道隔离不隔爱防疫有温度,5,1,0,,
062529.jpg,贸易风险；英国脱欧,环球早报:贸易风险缓和 聚焦欧盟峰会及英国脱欧白皮书,2,1,0,,
062532.jpg,德国队；球员；高鼻梁,"德国队的球员有着日耳曼人天生的高鼻梁,长相硬朗,极具阳刚之气.",3,1,0,,
062533.jpg,湖南；高考,湖南新高考结束这是常德考生走出考场的样子,9,1,0,,
062534.jpg,棕榈鞋垫；透气,棕榈鞋垫男纯然山棕吸汗不臭棕丝棕垫手工竹炭透气吸,15,1,0,1.0,
062535.jpg,婚礼摄影,真正婚礼摄影不是今年流行什么而是根据故事情节来记,5,1,0,,
062538.jpg,烤肉店；深圳,深圳烤肉店推荐 深圳去哪里吃烤肉,7,1,0,,
062539.jpg,反射角,反射角由多少度变为多少度,0,1,0,1.0,
062540.jpg,安门；暗门,安门就是暗门,0,1,0,1.0,
062541.jpg,智能汽车；宁德时代,"新车搭载了搭载了华为HI智能汽车全栈解决方案,以及宁德时代最新电动化技术",6,3,0,,
062542.jpg,高跟短靴；女；秋冬,跨境2021粗跟高跟短靴女秋冬季女鞋新款厚底马丁靴加绒女靴子批发,11,1,0,,
062547.jpg,安全裤；贴身,蕾丝边一裤两穿安全裤2021夏款松紧腰桑蚕丝贴身少女,15,1,0,1.0,
062551.jpg,万科；沈阳；北宸之光,2020预鉴北宸之光 沈阳万科首进沈北发布重要作品 正式发布,15,1,0,1.0,
062553.jpg,母亲；白血病,"孩子刚满月 30岁年轻母亲患上白血病绝望呼喊""我想活下去""",8,1,0,,
062554.jpg,实体店；转型,实体店未来的出路是从单一的商品销售向贩卖生活方式转型,11,1,0,1.0,
062556.jpg,湘菜,"毕节哪里有学炒菜,我想学湘菜",7,1,0,,
062561.jpg,realme；book首销,realme book首销告捷 5秒销售额破千万 拿下双冠军,6,1,0,,
062565.jpg,红领巾；广播站,红领巾广播站——小雪节气,9,1,0,1.0,
062566.jpg,手捻球；瑞兽,金丝楠手捻球健身球瑞兽手把件 元宝貔貅手玩件一对2只,14,1,0,,
062567.jpg,卤鸭；周黑鸭,今天学会了卤鸭货|家庭版周黑鸭9215|面筋|料酒,7,1,0,,
062568.jpg,婴儿车；防蚊罩,恋名媛婴儿车蚊帐全罩式通用防蚊罩加密宝宝小车婴儿推车防蚊帐通用全,15,1,0,1.0,
062574.jpg,suv,自主豪华品牌suv与合资紧凑suv怎么选,6,1,0,1.0,
062576.jpg,不锈钢；沥水篮,304不锈钢漏盆沥水篮洗米筛淘米淘米盆家用厨房洗菜篮,15,1,0,1.0,
062580.jpg,纯电动车,"官方定位为两厢版纯电动车型,预计将在9月份内正式上市.",6,1,0,,
062581.jpg,中美协；荷花四条屏；作品,中美协<人名>《荷花四条屏》,14,1,0,,
062582.jpg,啤酒瓶,会砸啤酒瓶么,7,1,0,1.0,
062583.jpg,码农；节日快乐,"给你们万千宠爱,愿你们秀发常在—澎湃码农,节日快乐!",6,3,0,1.0,
062584.jpg,键盘；机械,慧海悬浮按键机械手感键盘 有线金属面板炫光发光背光,6,1,0,1.0,
062585.jpg,画坛；艺术家,这七位是活跃在当代画坛前沿的年轻艺术家,14,1,0,,
062591.jpg,酒业；回暖,"酒业正在回暖!真工酱酒创新营销模式,抢占复市高地",7,1,0,,
062592.jpg,北京；小吃,"还有一些北京当地的小吃,让你不出邯郸就能感受到首都的味道.",7,1,0,,
062593.jpg,客运,"金鹏客运开航五周年之""温暖""地服人孙徐慧",5,2,0,1.0,
062594.jpg,瑜伽背心；速干,如果你追求与众不同买ta就对了速干瑜伽背心,11,1,0,1.0,
062595.jpg,丰田；乘用车,丰田(toyota)多用途乘用车,6,1,0,,
062596.jpg,收购；epic；pharma,"但是,Epic Pharma被收购后的表现,并未像人福医药当初设想的那样美好",8,1,0,,
062597.jpg,党员；信息卡,党员信息卡,1,1,0,1.0,
062598.jpg,大船；作战能力,"关系再好也不卖!这种国产大船毫无作战能力,但是我们却从不出口",2,3,0,,
062599.jpg,哈登；球员,连进5球将3巨头拖上岸 哈登1数据10年新低还,3,3,0,,
062602.jpg,轰炸机；中国,中国轰20轰炸机究竟何时亮相,12,3,0,,
062603.jpg,仁里村,"仁里村位于绩溪城东10华里,是一个近山亲水的地方",10,3,0,,
062604.jpg,邮轮,邮轮,0,3,0,1.0,
062605.jpg,炒米粉,"炒米粉使用的米粉相对较粗且有嚼劲,味道香辣,汤汁颜色浓郁.",7,1,0,,
062606.jpg,写字楼,深圳南山福田写字楼直租国际西岸商务大厦,2,1,0,1.0,
062607.jpg,三十岁；嫁人,三十岁的女人难嫁人,5,1,0,,
062611.jpg,轻妆,拍摄日轻妆爱用申请出战,11,1,0,,
062612.jpg,莎莎；乒乓球员,"莎莎们虽然年轻,长得活泼可爱,打球也非常好看.",3,3,6,,
062616.jpg,行情；市场,"上午行情走势比较波折,市场的赚钱效应也相对集中.",2,1,0,,
062619.jpg,染发；时尚,结合染发更显时尚,11,1,6,,
062621.jpg,电动；环卫车,全新自卸式电动环卫车,6,1,0,,
062623.jpg,售罄；房源,合能地产杭玥府火爆热销 可售房源全部售罄,2,1,0,1.0,
062624.jpg,农贸市场；龙港,"龙港的农贸市场,情况让人担忧",5,1,0,,
062625.jpg,库里；三分大赛,库里为什么在三分大赛里会输呢?仅仅是因为运气问题吗,3,1,0,,
062634.jpg,欧冠；争议,"var欧冠首判就引争议!皇马丢球被取消,阿贾克斯大将怒斥可耻",3,3,0,,
062637.jpg,口红；黄金子弹头,"挑战cl萝卜丁女王权杖?whoo后推出黄金子弹头口红,颜值爆表!",11,1,0,,
062638.jpg,南开大学；共青团,感谢南开大学对共青团工作的大力支持.,9,3,6,,
062639.jpg,医学界,医学界普遍回答是:不知道.,8,1,0,,
062641.jpg,晚饭；中老年人,中老年人的晚饭素菜和粗粮摆满餐桌简单美味营养也不错,7,1,0,,
062642.jpg,中国考古学通论,《中国考古学通论》心智图,9,1,0,,
062643.jpg,思维导图；音乐类app,原创音乐类app结构思维导图,9,1,0,,
062644.jpg,重点高中,"重点高中对于初中生来说是非常渴望能够考进去的,进入重点高中",9,3,0,,
062646.jpg,建设城市；妇女创业担保,"加快打造省域副中心城市,建设人民城市,进一步推进全市妇女创业担保",1,1,0,1.0,
062654.jpg,意甲；十字韧带,盘点意甲遭受十字韧带折磨的巨星,3,1,3,,
062655.jpg,搬家；防护垫,"把物件搬进新家之前,照例要在各个地面墙面铺设好防护垫",15,1,0,1.0,
062656.jpg,执勤士兵；站岗；配枪；配弹,执勤士兵在站岗的时候都会配枪 那枪里的配弹情况是怎样的?,5,1,0,,
062657.jpg,智能蓝牙,智能蓝牙跟弹便携折叠88键电子钢琴拼接手卷专业考级,6,1,0,,
062658.jpg,电子发票,"江汽运集团推出电子发票,新会汽车总站率先试行",2,1,0,1.0,
062659.jpg,白伞伞；蘑菇,"""白伞伞""也很危险!",7,1,0,,
062660.jpg,指数；开盘,"今天指数开盘还是承压的,尤其深指和创指,一个大跳水动作还是完成了",2,1,0,,
062664.jpg,智能社区；拓扑图,智能社区系统拓扑图,6,1,0,,
062666.jpg,入场仪,"入场仪式结束,五颜六色的风带再次从四面八方袭来,在舞台上有规律地",3,1,0,,
062667.jpg,建筑；细节,值得细品的 100个 建筑细节,0,1,0,1.0,
062668.jpg,5号线；4号线；城市,深圳龙岗杨美旧村佳兆业集团城市更新项目5号线4号线,5,1,0,,
062669.jpg,洋蓟,"在吃的时候,是需要把这些洋蓟外面的花瓣全部都给去掉",7,1,0,,
062674.jpg,防空炮m247；美国史,"美国史上最不正经的防空炮m247,打掉敌人厕所",12,3,0,,
062677.jpg,十四周；肚子；怀孕,"天啊……什么情况,十四周了一点肚子没有",8,1,0,,
062678.jpg,氢能；燃料电池汽车,"作为氢能商业化的关键性基础设施,加氢站的发展决定了燃料电池汽车发展的上限",6,1,0,,
062682.jpg,土特产,土特产店怎么装修,7,3,0,,
062683.jpg,大牛教育；教师资格证,大牛教育2021年版中学小学幼儿园教师资格证考试用书真,9,1,0,,
062684.jpg,果园；转让；沙文镇；贵州,贵州省贵阳市白云区沙文镇113亩果园转让,10,3,0,,
062686.jpg,领涨股,要求出现此技术特征的个股为当时的领涨股,2,1,0,,
062687.jpg,云南；结合部；经济圈,"就区位而言,云南地处中国经济圈,东南亚经济圈和南亚经济圈的结合部",14,3,0,,
062692.jpg,牛肉；咖喱,泰式咖喱牛肉,7,1,0,,
062696.jpg,种植；牙,可恩种植大咖,8,1,0,,
062698.jpg,麻辣烫；暗访；老鼠,近日有视频博主暗访杨国福麻辣烫，发现仓库内食材被老鼠咬后仍继续使用,5,1,0,,
062699.jpg,悲剧；公交车；女子身亡,悲剧发生在两辆公交车之间 女子当场身亡,5,1,0,,
062701.jpg,材料混搭,"5多种材料混搭无论是装饰画与大理石的组合,还是大理石与镜面的组合",15,3,0,1.0,
062703.jpg,波动,"60%,年化波动接近于平均数和中位数.",2,1,0,,
062704.jpg,预售许可；利群鼎府,未办预售许可利群鼎府被指违规销售记者调查首付至少交,5,1,0,,
062705.jpg,徐州；二手；手表,徐州67二手帝舵手表取得店面去能卖要多少钱,11,1,0,1.0,
062707.jpg,奥迪r8,2017款奥迪r8:电影与现实中都是其座驾,6,2,0,,
062710.jpg,第2宇宙作战队；日本,"日本决定增设""第2宇宙作战队"",能用电磁波干扰",12,2,0,,
062711.jpg,杭州；地铁,"正在蓬勃建设和发展中的杭州,  已有4条地铁在运营状态.",5,1,0,,
062716.jpg,名爵HS静态；汽车,现在改走高端路线 mg hs静态体验,6,1,0,,
062718.jpg,新能源座驾；汽车,完美适配女神和男神的新能源座驾,6,1,0,,
062719.jpg,政府；抨击,"马各反对党亦随之抨击穆希丁政府违背元首命令,不尊重国会",1,3,0,1.0,
062720.jpg,对外金融资产；中国,中国二季度末对外金融资产64337亿美元 负债减少72亿,2,1,0,,
062721.jpg,泼水节；傣族,水彩傣族泼水节旅游宣传海报,14,1,0,,
062722.jpg,直肠癌；肿瘤；美国,美国肿瘤联合会结直肠癌分期系统(第8版)更新解读.pdf,8,1,0,,
062723.jpg,g10；补水功能,"为了解决这个困扰,g10此次加入了一个自动补水功能.",6,1,0,,
062726.jpg,变速器；最高档,"匹配法士特12档铁壳变速器, 最高档为超速挡.",6,1,0,1.0,
062728.jpg,枕头；过高；过低,枕头无论是过高还是过低都是不适宜的这说法真不是故意吓你,8,1,0,,
062729.jpg,独行侠；篮球运动员,"独行侠逃离重建泥潭,双星携手开启下一个时代",3,1,6,,
062735.jpg,南北经济；误读,被误读的南北经济差距,2,1,0,,
062737.jpg,科学城；中科合创,中科合创立足科技服务推动中关村率先建成具有全球影响力的科学城,10,3,0,1.0,
062738.jpg,罗马柱；石膏,罗马柱模具厂 供应批发 上海罗马柱石膏,0,3,0,1.0,
062739.jpg,安妮日记；彩图注音,正版包邮 安妮日记 彩图注音版世界名著小学生读书一二三年级课外,9,1,0,,
062740.jpg,史册；书画,"在一本史册中记载,当时许多人想要得到运回长安的书画",14,1,0,,
062741.jpg,雁鸣湖；度假山庄,郑州雁鸣湖凌云温泉度假山庄图片,10,3,0,,
062742.jpg,早晚高峰,"如果是每天都行进在早晚高峰时段的人,一定要记住可以选择一些别的交通工具",10,3,0,,
062743.jpg,艾草；青团,"教你用艾草做青团,清明节传统特色小吃,仅6个步骤,简单易学",7,1,0,,
062748.jpg,画；改；犒劳自己,"按我朋友的原话是,天天画画画改改改,是时候该犒劳一下自己了!",7,1,0,,
062749.jpg,主任；教学手段,常实主任向与会教师介绍技能中心教学新手段,9,1,0,,
062750.jpg,公共场合；声音,在公共场合的时候说话的声音通常会很小,5,2,0,,
062752.jpg,事故；报警电话,"事故不算严重,小车司机也在现场比较配合,司机也拔打了报警电话",5,3,0,,
062753.jpg,楠木；象棋,小叶桢楠金丝楠木五福象棋雕刻木质工艺品精品礼金丝楠厂家直销,14,1,0,1.0,
062754.jpg,领导层,公司领导层,5,3,0,1.0,
062755.jpg,下水道；清洗,市政管道下水道疏通喷头水老鼠前一后三喷射高压喷嘴水管清洗通堵,10,1,0,1.0,
062757.jpg,脑络通胶囊,白云山脑络通胶囊,8,1,0,,
062758.jpg,台灯；led,创意led可充电台灯可夹带夹子台灯床头夹灯夹式,15,1,0,1.0,
062759.jpg,出勤率,"整张表总体的出勤率都还不错,出勤率保持在75%到80%之间.",0,1,0,1.0,
062761.jpg,粤菜,"古代时期:粤菜发源于中国岭南地区,在秦汉时期初步形成风格的雏形",7,1,0,,
062762.jpg,丰收；田间；农民," 在丰收的季节里,让我们踏着秋风到田间地头走一走,与农民共享丰收",0,1,0,1.0,
062764.jpg,抗老片,全球首个药品标准nmn抗老片ezz上市,8,1,6,,
062765.jpg,安吉亚里战役；仿品,彼得·保罗·鲁本斯绘制的《安吉亚里战役》仿品.,14,1,0,,
062766.jpg,校内奖学金,校内奖学金获奖代表,9,3,0,,
062767.jpg,营利；降,"营利齐降!订单减少,迪威尔上半年净利润同比下滑近七成",2,1,0,,
062768.jpg,房地产；不景气,房地产不景气为改革主因,2,1,0,1.0,
062769.jpg,围炉煮茶,"晴窗待雪,围炉煮茶|是冬日最美的事情",14,1,0,,
062770.jpg,遵义会址；画；青松,《遵义会址》画中添加了两棵挺拔的青松环抱遵义,14,1,0,,
062775.jpg,暑假实践；工作坊,"去年此时节,我们去认识了那个传说中的暑假实践工作坊",5,1,0,,
062776.jpg,乳糖；母乳,"乳糖是母乳中碳水化合物的来源,像诺优能活力蓝罐这种添加全乳糖的",7,1,0,,
